CTRY3M_ID,AB_Island_ID,Weigelt ID,Island,Archipelago,NOTES,Source,intro_birds_mine,NISP,region,isolation_from_nearest_island(km),isolation_from_nearest_island_group(km),intr_birds_BlackburnEtAl,intr_mammalian_predators,forest_replacement,deforestation,island_area(km2),max_island_elevation(m),notes,fossil_record_quality_rating
,81,18204,Sao Vicente,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
7919,1,64875,Sepenbak (New.Ireland),Bismarcks,,Steadman 2006,0,239,m,35,35,NA,NA,2,2,7174,2150,,5
,109,54628,Silhouette Island,Seychelles,Silhouette,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,91,1819,South Georgia,Atlantic,,avibase,,,Atlantic,,,,,,,,,,
9345,28,75843,South.Island,New.Zealand,,Worthy & Holdaway 2002,31,NA,nz,50,1500,29,10,1,4,145836,3764,,1
,92,85150,St. Helena,Atlantic,,avibase,,,Atlantic,,,,,,,,,,
,73,18243,Tenerife,Canary Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,195,19146,Terciera,Azores,,avibase,,,,,,,,,,,,,
NA,53,80330,Tikopia,Solomons,,,,55,m,NA,NA,,,,,4.6,360,,4
5776,20,75038,Tinian,Marianas,,Steadman 2006,3,647,mr,5,500,4,4,NA,NA,102,170,,3
,66,10928,Tobago,Trinidad & Tobago,lots of islands named after tobago around the central tobago island,Ivan/Ricki,,,car,,,,,,,300,,,
,93,7733,Tristan da Cunha,Atlantic,Tristan da Cunha,avibase,,,Atlantic,,,,,,,,,,
8860,31,9644,Tutuila,Samoa,,Steadman 2006,5,50,wp,60,600,2,3,NA,NA,142,653,,4
,123,84232,Umboi,Bismarcks,Rooke,Birds of Northern Melanesia,,,m,,,,,,,,,,
,135,81979,Vangunu,Solomons,Vangunu Island,birds of melanesia.net,,,m,,,,,,,,,,
,136,82801,Vella Lavella,Solomons,Vella Lavella Island,birds of melanesia.net,,,m,,,,,,,,,,
9031,9,78561,Viti.Levu,Fiji,,Steadman 2006,11,NA,wp,60,800,8,4,3,3.5,10384,1224,,4
,137,82847,Ysabel,Solomons,Santa Isabel,Birds of Northern Melanesia,,,m,,,,,,,,,,
,149,4946,Antipodes Islands,New Zealand,,avibase ,,,Pacific,,,,,,,,,,
,150,4643,Auckland Island,New Zealand,,avibase + wikipedia,,,Pacific,,,,,,,,,,
,203,,Campbell Island,New Zealand,,,,,Pacific,,,,,,,,,,
,202,,Faroe islands,Faroe islands,,,,,Atlantic,,,,,,,,,,
,84,18774,Santa Maria,Azores,,"avibase; Rando, J. C., Alcover, J. A., Olson, S. L., & Pieper, H. (2013). A new species of extinct scops owl ( Aves : Strigiformes : Strigidae : Otus ) from São, 3647(May), 343–357.",,,Atlantic,,,,,,,,,,
NA,5,8916,Aiwa,Fiji,Aiwa is one island in Fiji,Steadman 2006,,18,wp,13,800,NA,NA,NA,NA,1,NA,,5
9070,8,8981,Nayau,Fiji,,Steadman 2006,,80,wp,30,800,NA,NA,NA,NA,18.44,NA,,4
8727,23,9716,Tahuata,Marquesas,,,,70,ep,5,600,1,1,4,3,53,1000,,4
8609,24,9772,Ua.Huka,Marquesas,,,,2187,ep,40,600,0,0,4,3.5,78,856,,2
9147,35,8747,Foa,Tonga,,Steadman 2006,,215,wp,1,75,NA,NA,NA,NA,13.3,14,,3
NA,36,8724,Haafeva,Tonga,Ha`afeva Island,Steadman 2006,,293,wp,3,35,NA,NA,NA,NA,1.8,NA,,3
9139,37,8751,Haano,Tonga,listed as Ha`ano island,Steadman 2006,,146,wp,2,75,NA,NA,NA,NA,6.6,8,,2
9151,38,8747,Lifuka,Tonga,"Lifuka is alt name, Foa Island is the name found in Tonga chain",Steadman 2006,,607,wp,1,50,NA,NA,NA,NA,11.4,14,,2
8830,44,80225,Toga,Vanuatu,,Steadman 2006,,21,m,4,150,NA,NA,NA,NA,NA,NA,,NA
9159,40,8728,Uiha,Tonga,,Steadman 2006,,187,wp,8,75,NA,NA,NA,NA,5.3,NA,,4
9106,2,8815,Aitutaki,Cook,,,,43,ep,100,700,1,4,4,4,18,124,,NA
9164,3,8715,Atiu,Cook,,,,41,ep,80,400,1,0,4,4,27,71,,4
,85,20203,Bermuda,,main island,,,,Atlantic,,,,,,,,,,
,138,9883,Espanola,Galapagos,Isla Espanola,Avibase,,,Pacific,,,,,,,,,,
