"","CTRY3M_ID","AB_Island_ID","Weigelt.ID","Island","Archipelago","NOTES","Source","intro_birds_mine","NISP","region","isolation_from_nearest_island.km.","isolation_from_nearest_island_group.km.","intr_birds_BlackburnEtAl","intr_mammalian_predators","forest_replacement","deforestation","island_area.km2.","max_island_elevation.m.","notes","fossil_record_quality_rating","good_island"
"18",NA,59,11927,"Cayman Brac","Cayman Islands",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,1
"19",13015,45,8546,"Chatham","Chatham",NA,"Worthy & Holdaway 2002","17",NA,"nz",600,600,0,1,NA,NA,"745",283,NA,2,1
"21",NA,188,19159,"Corvo","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"22",NA,96,13241,"Crooked Island","Bahamas",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"23",NA,60,13567,"Cuba","Greater Antilles",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"110861",NA,NA,NA,1
"24",NA,55,8570,"Easter","Easter","called Isla de Pascua in Spanish on website",NA,"5",6,"ep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25",9052,41,78498,"Efate","Vanuatu",NA,"Steadman 2006",NA,135,"m",75,340,4,3,3,3,"915",647,NA,5,1
"26",NA,67,18235,"El Hierro","Canary Islands",NA,"Illera et al 2012",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"27",9093,42,78337,"Erromango","Vanuatu",NA,"Steadman 2006",NA,217,"m",35,270,1,0,3,3,"900",886,NA,5,1
"28",NA,189,19103,"Faial","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"29",NA,190,19158,"Flores","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"31",NA,68,18245,"Fuerteventura","Canary Islands",NA,"Illera et al 2012",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"33",NA,191,19152,"Graciosa","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"34",NA,69,18240,"Gran Canaria","Canary Islands",NA,"Illera et al 2012",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"35",NA,94,11898,"Grand Cayman","Cayman Islands",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"36",12677,25,16924,"Grande Terre","New.Caledonia",NA,"Steadman 2006","15",6300,"m",1100,400,7,6,2,3,"16750",1618,NA,3,1
"37",NA,128,81441,"Guadalcanal","Solomons","Guadalcanal Island","birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"38",5902,17,74754,"Guam","Marianas",NA,"Steadman 2006","5",28,"mr",80,500,7,5,NA,NA,"554",393,NA,4,1
"39",5365,10,9827,"Hawaii","Hawaiian",NA,NA,"38",1000,"h",48,3000,34,4,3,3.5,"10433.1",4169,NA,1,1
"40",9250,30,8575,"Henderson","Pitcairn.Islands",NA,NA,"0",1500,"ep",200,600,0,0,NA,NA,"29.8",33,NA,1,1
"41",NA,95,0,"Hispaniola","Greater Antilles",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"42",NA,51,77353,"Ile des Pins","New.Caledonia","Kunie","birds of melanesia.net",NA,999,"m",45,100,NA,NA,NA,NA,"134",266,"Ile des Pins not distinguished from Grande Terre, New Caledonia",NA,1
"43",NA,61,11801,"Jamaica","Greater Antilles",NA,"Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"11190",NA,NA,NA,1
"44",11147,11,9854,"Kauai","Hawaiian",NA,NA,"31",2000,"h",125,3000,27,4,3,3.5,"1430.5",1598,NA,1,1
"48",NA,70,18241,"La Gomera","Canary Islands",NA,"Illera et al 2012; Avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"49",NA,71,18247,"La Palma","Canary Islands",NA,"Illera et al 2012; Avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"50",5297,12,9832,"Lanai","Hawaiian",NA,NA,"23",400,"h",14,3000,24,4,3,3.5,"364",1027,NA,3,1
"51",NA,72,18249,"Lanzarote","Canary Islands",NA,"Illera et al 2012; Avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"52",NA,97,13724,"Little Exuma","Bahamas","Great Exuma Island","Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"54",NA,56,76959,"Lord.Howe","Lord.Howe",NA,NA,"11",NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
