Island,AB_Island_ID,Weigelt.ID,Archipelago,Species_Name,Common_Name,Sibley2_0ID,AB_Species_ID,introduced,modern_observed,historically_observed,fossil_observed,Source,Fossil_Evidence,Notes,,,,,,,,,,,
Abaco,57,15844,Bahamas,Eudocimus albus,White Ibis,,,0,1,1,1,Avibase,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Falco sparverius,American Kestrel,,,0,1,1,1,Avibase,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Fulica americana,American Coot,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Gallinago delicata,Wilson's Snipe,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Gallinula galeata,Common Gallinule,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Geotrygon chrysia,Key West Quail-Dove,,,0,1,1,1,Avibase,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Loxigilla violacea,Greater Antillean Bullfinch,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Myiarchus sagrae,La Sagra's Flycatcher,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Oxyura jamaicensis,Ruddy Duck,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Pandion haliaetus,Osprey,,,0,1,1,1,Avibase,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Patagioenas leucocephala,White-crowned Pigeon,,,0,1,1,0,Avibase,,near threatened,,,,,,,,,,,
Abaco,57,15844,Bahamas,Polioptila caerulea,Blue-gray Gnatcatcher,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Porphyrio martinicus,Purple Gallinule,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Rallus longirostris,Clapper Rail,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Sturnus vulgaris,European Starling,,,1,1,NA,NA,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Zenaida asiatica,White-winged Dove,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Gallinago sp.,snipe,,,0,0,0,1,Milberg & Tyrberg,Milberg & Tyrberg 1993 Ecography,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Accipiter cooperii,Cooper's hawk,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Caracara creightoni,Bahamas Caracara,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Colaptes sp.,Flicker,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Margarops fuscatus,pearly-eyed thrasher,,,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Nyctanassa violacae,yellow-crowned night heron,,,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Petrochelidon fulva,Cave Swallow,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Rallus (undescribed sp.),Abaco flightless rail,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Sturnella magna,Eastern Meadowlark,,,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Tyto alba,barn owl,,,0,1,1,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Columba livia,Rock Pigeon,,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Columba livia ,,,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Estrilda melpoda,,12117,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Estrilda melpoda,Orange-cheeked waxill,,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Passer montanus,Eurasian tree sparrow,,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Passer montanus ,,,,1,1,NA,NA,Avibase website,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Gallus gallus,,,,1,1,NA,NA,pers. Comm. J. Welch,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Acrocephalus luscinia,,,17,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Aplonis opaca,,,41,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Cleptornis marchei,,,102,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Collocalia vanikorensis,,,112,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Gallicolumba xanthonura,,,193,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Gallirallus pisonii (sp M),,,203,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Ixobrychus sinensis,,,251,0,1,1,0,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Megapodius laperouse,,,285,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Myzomela rubrata,,,330,0,1,1,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,"Porzana sp. H,I,J",,,388,0,0,0,1,steadman 2006,,,,,,,,,,,,,
Aguiguan,16,75004,Marianas,Ptilinopus roseicapilla,,,415,0,1,1,1,steadman 2006,,,,,,,,,,,,,
