"","Island","AB_Island_ID","Weigelt.ID","Archipelago","Species_Name","Common_Name","Sibley2_0ID","AB_Species_ID","introduced","modern_observed","historically_observed","fossil_observed","Source","Fossil_Evidence","Notes","good_island"
"44","Abaco",57,15844,"Bahamas","Charadrius vociferus","Killdeer",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"45","Abaco",57,15844,"Bahamas","Charadrius wilsonia","Wilson's Plover",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"46","Abaco",57,15844,"Bahamas","Coccyzus americanus","Yellow-billed Cuckoo",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"47","Abaco",57,15844,"Bahamas","Dendrocygna arborea","West Indian Whistling Duck",NA,NA,0,1,1,0,"Avibase",NA,"vulnerable",1
"48","Abaco",57,15844,"Bahamas","Dendroica flavescens","Bahama Warbler",NA,NA,0,1,1,0,"Avibase",NA,"endemic. near threatened ; Setophaga flavescens",1
"49","Abaco",57,15844,"Bahamas","Dendroica petechia","Yellow Warbler",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"50","Abaco",57,15844,"Bahamas","Dendroica pityophila","Olive-capped Warbler",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"51","Abaco",57,15844,"Bahamas","Egretta caerulea","Little Blue Heron",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"52","Abaco",57,15844,"Bahamas","Egretta rufescens","Reddish Egret",NA,NA,0,1,1,0,"Avibase",NA,"Near threatened",1
"53","Abaco",57,15844,"Bahamas","Egretta thula","Snowy Egret",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"54","Abaco",57,15844,"Bahamas","Egretta tricolor","Tricolored Heron",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"55","Abaco",57,15844,"Bahamas","Eudocimus albus","White Ibis",NA,NA,0,1,1,1,"Avibase","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"56","Abaco",57,15844,"Bahamas","Falco sparverius","American Kestrel",NA,NA,0,1,1,1,"Avibase","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","common",1
"57","Abaco",57,15844,"Bahamas","Fulica americana","American Coot",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"58","Abaco",57,15844,"Bahamas","Gallinago delicata","Wilson's Snipe",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"59","Abaco",57,15844,"Bahamas","Gallinula galeata","Common Gallinule",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"60","Abaco",57,15844,"Bahamas","Geotrygon chrysia","Key West Quail-Dove",NA,NA,0,1,1,1,"Avibase","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"61","Abaco",57,15844,"Bahamas","Loxigilla violacea","Greater Antillean Bullfinch",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"62","Abaco",57,15844,"Bahamas","Myiarchus sagrae","La Sagra's Flycatcher",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"63","Abaco",57,15844,"Bahamas","Oxyura jamaicensis","Ruddy Duck",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"64","Abaco",57,15844,"Bahamas","Pandion haliaetus","Osprey",NA,NA,0,1,1,1,"Avibase","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"65","Abaco",57,15844,"Bahamas","Patagioenas leucocephala","White-crowned Pigeon",NA,NA,0,1,1,0,"Avibase",NA,"near threatened",1
"66","Abaco",57,15844,"Bahamas","Polioptila caerulea","Blue-gray Gnatcatcher",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"67","Abaco",57,15844,"Bahamas","Porphyrio martinicus","Purple Gallinule",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"68","Abaco",57,15844,"Bahamas","Rallus longirostris","Clapper Rail",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"69","Abaco",57,15844,"Bahamas","Sturnus vulgaris","European Starling",NA,NA,1,1,NA,NA,"Avibase",NA,NA,1
"70","Abaco",57,15844,"Bahamas","Zenaida asiatica","White-winged Dove",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"71","Abaco",57,15844,"Bahamas","Gallinago sp.","snipe",NA,NA,0,0,0,1,"Milberg & Tyrberg","Milberg & Tyrberg 1993 Ecography",NA,1
"72","Abaco",57,15844,"Bahamas","Accipiter cooperii","Cooper's hawk",NA,NA,0,0,0,1,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
