AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
121,8336,Coracina holopolia,"Solomons Cuckooshrike, Black-bellied Cicadabird, Solomon Islands Cuckooshrike",Passeriformes,Campephagidae,Coracina holopolia,y,1.689308859,1,0,0,i,f,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,1,2.19,3.03,NT,0,0,0,"hawaii amakihi, aka. Hemignathus virens",,walter's
122,8306,Coracina lineata,"Yellow-eyed Cuckooshrike, Barred Cuckooshrike, Barred Cuckoo-shrike",Passeriformes,Campephagidae,Coracina lineata,y,1.880904583,0,0,0,i,f,0,3,7,0,0,0,0,0,0,0,0,0,10,0,0,1,2.17,2.77,LC,0,0,0,,,walter's
123,8309,Coracina papuensis,"White-bellied Cuckooshrike, White-bellied Cuckoo-shrike",Passeriformes,Campephagidae,Coracina papuensis,y,1.802488658,0,0,0,i,f,0,5,2,1,2,0,0,0,0,2,0,4,4,0,0,1,2.27,3.11,LC,0,0,0,,,walter's
124,NA,Coracina sp. large New Ireland,,Passeriformes,Campephagidae,Coracina sp. Lg New Ireland,y,1.985895618,0,0,0,i,f,0,7,3,0,0,0,0,0,0,0,1,3,6,0,0,1,2.4,3.24,EX,1,NA,1,,,same as congener
125,8325,Coracina tenuirostris,"Slender-billed Cicadabird, Cicadabird, Common Cicadabird",Passeriformes,Campephagidae,Coracina tenuirostris,y,1.784772573,0,0,0,i,f,0,8,1,0,1,0,0,0,0,0,2,4,4,0,0,1,2.25,3.1,LC,0,0,0,,,walter's
126,NA,Corvus hawaiiensis,,Passeriformes,Corvidae,Corvus hawaiiensis,y,2.698970004,1,0,0,f,f,2,3,5,0,0,0,0,0,0,2,3,3,2,0,0,1,3,4.25,EW,1,1,0,"grouped with C. aff hawaiiensis, Corvidae femur length regression- mass should be 612g",,birds of north america
127,NA,Corvus impluviatus,,Passeriformes,Corvidae,Corvus impluviatus,y,2.714340512,2,0,0,f,f,2,3,5,0,0,0,0,0,0,2,3,3,2,0,0,1,3.01,4.26,EX,1,NA,1,,,same as hawaiian crow
128,NA,Corvus kubyari,"Mariana Crow, Guam Crow",Passeriformes,Corvidae,Corvus kubyari,y,2.397940009,1,0,0,o,o,3,3,3,0,1,0,0,0,0,2,3,3,2,0,0,1,2.79,4.17,EN,0,0,0,,,boyer 2009
129,8085,Corvus meeki,Bougainville Crow,Passeriformes,Corvidae,Corvus meeki,y,2.700590867,1,0,0,o,o,0,5,5,0,0,0,0,0,0,0,0,5,5,0,0,1,2.76,3.35,LC,0,0,0,,,walter's
130,8078,Corvus moneduloides,New Caledonian Crow,Passeriformes,Corvidae,Corvus moneduloides,y,2.443078913,1,0,0,o,o,1,2,2,0,2,1,2,0,0,5,2,2,1,0,0,1,2.82,4.1,LC,0,0,0,,,walter's
131,8111,Corvus orru,Torresian Crow,Passeriformes,Corvidae,Corvus orru,y,2.705833917,0,0,0,o,o,2,2,1,1,2,1,1,0,0,7,3,0,0,0,0,1,3.01,4.41,LC,0,0,0,,,walter's
132,NA,Corvus sp. Large New Ireland,,Passeriformes,Corvidae,Corvus sp. Lg New Ireland,y,2.701109982,2,0,0,o,o,2,1,2,0,0,5,0,0,0,7,3,0,0,0,0,1,3,4.7,EX,1,NA,1,,,boyer 2009
133,NA,Corvus viriosus,,Passeriformes,Corvidae,Corvus viriosus,y,2.827257077,1,0,0,f,f,2,1,2,0,0,5,0,0,0,7,3,0,0,0,0,1,3.09,4.79,EX,1,NA,1,,,boyer 2009
134,NA,Coturnix cf. ypsilophorus,,Galliformes,Phasianidae,Coturnix cf. ypsilophorus,y,1.897627091,0,0,1,o,o,0,3,0,0,7,0,0,0,0,10,0,0,0,0,0,1,2.15,2.72,EX,1,NA,1,,,same as congener
135,313,Coturnix chinensis,,Galliformes,Phasianidae,Coturnix chinensis,y,1.606512593,0,0,1,o,o,0,3,0,0,4,0,3,0,0,10,0,0,0,0,0,1,1.94,2.51,LC,0,0,0,,,walter's
136,2076,Cyanoramphus novaezelandiae,Red-fronted Parakeet,Psittaciformes,Psittacidae,Cyanoramphus novaezelandiae,y,1.955325865,0,0,0,f,h,0,1,3,0,3,0,3,0,0,2,4,4,0,0,0,1,2.47,2.86,VU,0,0,0,,,walter's
137,563,Dendrocygna arcuata,,Anseriformes,Anatidae,Dendrocygna arcuata,y,2.901014487,0,0,0,h,h,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,2,2.69,3.04,LC,0,0,0,,,walter's
138,NA,Dendrocygna sp (giant whistling duck),,Anseriformes,Anatidae,Dendrocygna sp,y,3.301029996,2,0,0,h,h,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,2,2.97,3.33,EX,1,NA,1,,,same as congener
139,11582,Dicaeum aeneum,Midget Flowerpecker,Passeriformes,Dicaeidae,Dicaeum aeneum,y,0.96583062,0,0,0,f,n,0,5,5,0,0,0,0,0,0,0,3,4,3,0,0,1,1.67,2.52,LC,0,0,0,,,walter's
140,11581,Dicaeum eximium,Red-banded Flowerpecker,Passeriformes,Dicaeidae,Dicaeum eximium,y,0.897627091,0,0,0,f,n,0,0,8,2,0,0,0,0,0,0,2,2,6,0,0,1,1.72,1.85,LC,0,0,0,,,walter's
141,8454,Dicrurus megarhynchus,Ribbon-tailed Drongo,Passeriformes,Dicruridae,Dicrurus megarhynchus,y,2.113943352,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,5,4,1,0,0,1,2.49,3.46,LC,0,0,0,,,walter's
142,NA,Didunculus ngutulahi,,Columbiformes,Columbidae,Didunculus ngutulahi,y,2.878532764,2,0,0,f,g,0,0,9,0,1,0,0,0,0,0,0,5,5,0,0,1,2.88,3.08,EX,1,NA,1,forages at all levels,,boyer 2009
143,NA,Drepanis funerea,,Passeriformes,Fringillidae,Drepanis funerea,y,1.478710756,2,0,0,n,n,0,1,0,9,0,0,0,0,0,0,0,5,5,0,0,1,2.13,2.41,EX,1,1,0,,,birds of north america
144,NA,Drepanis pacifica,,Passeriformes,Fringillidae,Drepanis pacifica,y,1.566083784,2,0,0,n,n,0,1,0,9,0,0,0,0,0,0,0,5,5,0,0,1,2.2,2.47,EX,1,1,0,,,birds of north america
145,3606,Drepanoptila holosericea,Cloven-feathered Dove,Columbiformes,Columbidae,Drepanoptila holosericea,y,2.33243846,3,0,0,f,f,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.5,2.7,NT,0,0,0,,,walter's
