Species_Name,Family,Common_name,Taxonomy.notes,Body mass (g),Diet_invert,Diet_vert,Diet_scav,Diet_fruit,Diet_nectar,Diet_seed,Diet_plant,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_watbelowsurface,Height_wataroundsurface,Height_aerial,Nocturnal_cat,guild_ref,mass reference
Vireo modestus,Vireonidae,,,10,9,0,0,1,0,0,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Volatinia jacarina,Thraupidae,,aka family: Fringillidae,10,1,0,0,1,0,8,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Platyrinchus mystaceus,Tyrannidae,,,10.05,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Coereba flaveola,Emberizidae,,,10.3,1,0,0,2,7,0,0,1,3,3,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo nanus,Vireonidae,,,10.7,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Cyanerpes caeruleus,Thraupidae,,,10.9,5,0,0,5,0,0,0,1,2,5,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Contopus caribaeus,Tyrannidae,,,11,7,0,0,3,0,0,0,0,0,0,0,0,0,10,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",Dunning
Contopus hispaniolensis,Tyrannidae,,"C. caribaus split, caribaeus, pallidus, hispaniolensis",11,5,0,0,5,0,0,0,0,0,0,0,0,0,10,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",Dunning
Contopus portoricensis,,,considered a subspecies of C. latirostris,11,10,0,0,0,0,0,0,0,2,6,2,0,0,0,0,based on Contopus virens,Dunning
Melopyrrha laitrostris,,,EXTINCT,11,4,0,0,2,0,3,1,0,3,7,0,0,0,0,0,Boyer,same as congener
Tolmomyias flaviventris,Tyrannidae,,,11.3,5,0,0,5,0,0,0,0,1,1,8,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Contopus pallidus,Tyrannidae,,,11.5,10,0,0,0,0,0,0,0,2,6,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",genus av of 2
